Postal Code,City
42420,Henderson
90036,Los Angeles
33311,Fort Lauderdale
90032,Los Angeles
28027,Concord
98103,Seattle
76106,Fort Worth
53711,Madison
84084,West Jordan
94109,San Francisco
68025,Fremont
19140,Philadelphia
84057,Orem
90049,Los Angeles
77095,Houston
75080,Richardson
77041,Houston
60540,Naperville
32935,Melbourne
55122,Eagan
48185,Westland
19901,Dover
47150,New Albany
10024,New York City
12180,Troy
90004,Los Angeles
60610,Chicago
85234,Gilbert
22153,Springfield
10009,New York City
49201,Jackson
38109,Memphis
77070,Houston
35601,Decatur
94122,San Francisco
27707,Durham
60623,Chicago
29203,Columbia
55901,Rochester
55407,Minneapolis
97206,Portland
55106,Saint Paul
80013,Aurora
28205,Charlotte
60462,Orland Park
10035,New York City
50322,Urbandale
43229,Columbus
37620,Bristol
19805,Wilmington
61701,Bloomington
85023,Phoenix
95661,Roseville
64055,Independence
91104,Pasadena
43055,Newark
53132,Franklin
85254,Scottsdale
95123,San Jose
98105,Seattle
98115,Seattle
73034,Edmond
90045,Los Angeles
19134,Philadelphia
88220,Carlsbad
78207,San Antonio
77036,Houston
62521,Decatur
71203,Monroe
6824,Fairfield
75051,Grand Prairie
92374,Redlands
45011,Hamilton
7090,Westfield
19120,Philadelphia
44312,Akron
80219,Denver
75220,Dallas
37064,Franklin
90604,Whittier
48601,Saginaw
44256,Medina
43017,Dublin
48227,Detroit
38401,Columbia
33614,Tampa
95051,Santa Clara
55044,Lakeville
92037,San Diego
77506,Pasadena
94513,Brentwood
27514,Chapel Hill
7960,Morristown
45231,Cincinnati
94110,San Francisco
90301,Inglewood
33319,Tamarac
80906,Colorado Springs
7109,Belleville
48180,Taylor
8701,Lakewood
22204,Arlington
80004,Arvada
7601,Hackensack
33710,Saint Petersburg
19143,Philadelphia
90805,Long Beach
92345,Hesperia
37130,Murfreesboro
84041,Layton
78745,Austin
1852,Lowell
31907,Columbus
6040,Manchester
78550,Harlingen
85705,Tucson
62301,Quincy
2038,Franklin
33024,Pembroke Pines
98198,Des Moines
61604,Peoria
89115,Las Vegas
2886,Warwick
33180,Miami
28403,Wilmington
92646,Huntington Beach
40475,Richmond
80027,Louisville
1841,Lawrence
39212,Jackson
48187,Canton
10801,New Rochelle
28052,Gastonia
32216,Jacksonville
47201,Columbus
13021,Auburn
73071,Norman
94521,Concord
60068,Park Ridge
79109,Amarillo
11757,Lindenhurst
90008,Los Angeles
92024,San Diego
77340,Huntsville
14609,Rochester
72701,Fayetteville
92627,Costa Mesa
80134,Parker
30318,Atlanta
64118,Gladstone
59405,Great Falls
48234,Detroit
33801,Lakeland
36116,Montgomery
85204,Mesa
60653,Chicago
54302,Green Bay
45503,Springfield
92804,Anaheim
98270,Marysville
97301,Salem
78041,Laredo
75217,Dallas
43123,Grove City
10011,New York City
48126,Dearborn
31088,Warner Robins
94591,Vallejo
92691,Mission Viejo
48307,Rochester Hills
7060,Plainfield
85635,Sierra Vista
98661,Vancouver
60505,Aurora
76017,Arlington
40214,Louisville
75081,Dallas
44105,Cleveland
75701,Tyler
27217,Burlington
22980,Waynesboro
19013,Chester
27511,Cary
32137,Palm Coast
10550,Mount Vernon
48205,Detroit
33012,Hialeah
11572,Oceanside
92105,San Diego
60201,Evanston
48183,Trenton
55016,Cottage Grove
71111,Bossier City
50315,Des Moines
93534,Lancaster
23223,Richmond
28806,Asheville
92530,Lake Elsinore
68104,Omaha
98026,Edmonds
92704,Santa Ana
53209,Milwaukee
41042,Florence
44052,Lorain
7036,Linden
93905,Salinas
8901,New Brunswick
17602,Lancaster
3301,Concord
21044,Columbia
75043,Garland
6360,Norwich
22304,Alexandria
43615,Toledo
87401,Farmington
92503,Riverside
90503,Torrance
78664,Round Rock
92054,Oceanside
33433,Boca Raton
23464,Virginia Beach
92563,Murrieta
28540,Jacksonville
52601,Burlington
98502,Olympia
20016,Washington
65109,Jefferson City
63376,Saint Peters
61107,Rockford
33142,Miami
78521,Brownsville
10701,Yonkers
94601,Oakland
28110,Monroe
20735,Clinton
92024,Encinitas
30076,Roswell
72401,Jonesboro
47374,Richmond
94509,Antioch
33030,Homestead
46350,La Porte
48911,Lansing
44221,Cuyahoga Falls
89502,Reno
22801,Harrisonburg
92025,Escondido
48073,Royal Oak
20852,Rockville
33065,Coral Springs
14215,Buffalo
33437,Boynton Beach
39503,Gulfport
93727,Fresno
27834,Greenville
11561,Long Beach
35630,Florence
31204,Macon
52402,Cedar Rapids
2908,Providence
81001,Pueblo
94533,Fairfield
32725,Deltona
42071,Murray
6457,Middletown
11520,Freeport
90660,Pico Rivera
84604,Provo
84062,Pleasant Grove
30080,Smyrna
24153,Salem
44134,Parma
36608,Mobile
2740,New Bedford
75061,Irving
8360,Vineland
85301,Glendale
14304,Niagara Falls
27360,Thomasville
92683,Westminster
38301,Jackson
75019,Coppell
91767,Pomona
89031,North Las Vegas
18103,Allentown
19711,Newark
85281,Tempe
92677,Laguna Niguel
8302,Bridgeton
2149,Everett
13601,Watertown
54915,Appleton
98006,Bellevue
75002,Allen
79907,El Paso
76051,Grapevine
75007,Carrollton
37167,Smyrna
98031,Kent
70506,Lafayette
97224,Tigard
60076,Skokie
75023,Plano
23434,Suffolk
46203,Indianapolis
7002,Bayonne
28314,Fayetteville
27405,Greensboro
21215,Baltimore
53142,Kenosha
66062,Olathe
98002,Auburn
74133,Tulsa
97756,Redmond
27604,Raleigh
74403,Muskogee
6450,Meriden
42104,Bowling Green
46614,South Bend
6010,Bristol
89015,Henderson
99207,Spokane
76248,Keller
45014,Fairfield
32127,Port Orange
97504,Medford
22901,Charlottesville
59801,Missoula
33178,Miami
29501,Florence
97477,Springfield
32712,Apopka
19601,Reading
80020,Broomfield
65807,Springfield
7501,Paterson
73120,Oklahoma City
23320,Chesapeake
79424,Lubbock
65203,Columbia
37604,Johnson City
36830,Auburn
92404,San Bernardino
1453,Leominster
59715,Bozeman
85345,Peoria
44107,Lakewood
8861,Perth Amboy
91761,Ontario
91730,Rancho Cucamonga
56560,Moorhead
75150,Mesquite
95207,Stockton
32174,Ormond Beach
94086,Sunnyvale
3820,Dover
17403,York
77840,College Station
63116,Saint Louis
2169,Quincy
95336,Manteca
44240,Kent
76903,San Angelo
84106,Salt Lake City
35810,Huntsville
37918,Knoxville
72209,Little Rock
48146,Lincoln Park
43302,Marion
80122,Littleton
05408,Burlington
4401,Bangor
38671,Southaven
47362,New Castle
48640,Midland
57103,Sioux Falls
80525,Fort Collins
47905,Lafayette
37042,Clarksville
95823,Sacramento
91360,Thousand Oaks
2148,Malden
1040,Holyoke
87105,Albuquerque
89431,Sparks
92236,Coachella
60126,Elmhurst
7055,Passaic
29406,North Charleston
23602,Newport News
14701,Jamestown
46544,Mishawaka
43402,Bowling Green
92253,La Quinta
32303,Tallahassee
37211,Nashville
98226,Bellingham
60098,Woodstock
76117,Haltom City
60090,Wheeling
29483,Summerville
71901,Hot Springs
80112,Englewood
43130,Lancaster
88001,Las Cruces
35244,Hoover
75034,Frisco
95687,Vacaville
84107,Murray
53186,Waukesha
93309,Bakersfield
33068,Pompano Beach
45373,Troy
78415,Corpus Christi
90278,Redondo Beach
32839,Orlando
7050,Orange
70601,Lake Charles
60035,Highland Park
11550,Hempstead
46060,Noblesville
55124,Apple Valley
29464,Mount Pleasant
48310,Sterling Heights
54703,Eau Claire
78577,Pharr
59102,Billings
97030,Gresham
37421,Chattanooga
83642,Meridian
92307,Apple Valley
60440,Bolingbrook
55369,Maple Grove
95695,Woodland
77489,Missouri City
77581,Pearland
94403,San Mateo
49505,Grand Rapids
93277,Visalia
66212,Overland Park
92592,Temecula
92399,Yucaipa
2151,Revere
77301,Conroe
60477,Tinley Park
52001,Dubuque
48127,Dearborn Heights
87505,Santa Fe
28601,Hickory
60188,Carol Stream
56301,Saint Cloud
33161,North Miami
46226,Lawrence
33317,Plantation
34952,Port Saint Lucie
29730,Rock Hill
79762,Odessa
53214,West Allis
91911,Chula Vista
66502,Manhattan
16602,Altoona
80229,Thornton
61821,Champaign
47401,Bloomington
71854,Texarkana
78539,Edinburg
77520,Baytown
46142,Greenwood
90712,Lakewood
2895,Woonsocket
54880,Superior
76021,Bedford
98042,Covington
74012,Broken Arrow
33023,Miramar
33021,Hollywood
77536,Deer Park
67212,Wichita
78501,Mcallen
52240,Iowa City
83704,Boise
2920,Cranston
61032,Freeport
77642,Port Arthur
95610,Citrus Heights
75056,The Colony
98052,Redmond
32114,Daytona Beach
86442,Bullhead City
46368,Portage
58103,Fargo
46514,Elkhart
91776,San Gabriel
33063,Margate
30328,Sandy Springs
44060,Mentor
73505,Lawton
23666,Hampton
13440,Rome
54601,La Crosse
83501,Lewiston
39401,Hattiesburg
94526,Danville
48858,Mount Pleasant
84321,Logan
6708,Waterbury
30605,Athens
4240,Lewiston
61832,Danville
85323,Avondale
30062,Marietta
85364,Yuma
54401,Wausau
99301,Pasco
60302,Oak Park
32503,Pensacola
77573,League City
20877,Gaithersburg
84043,Lehi
35401,Tuscaloosa
92553,Moreno Valley
40324,Georgetown
80538,Loveland
85224,Chandler
59601,Helena
63122,Kirkwood
76706,Waco
48066,Roseville
60423,Frankfort
18018,Bethlehem
55113,Roseville
68801,Grand Island
55125,Woodbury
48237,Oak Park
72756,Rogers
88101,Clovis
33458,Jupiter
93101,Santa Barbara
75104,Cedar Hill
68701,Norfolk
84020,Draper
48104,Ann Arbor
91941,La Mesa
83201,Pocatello
49423,Holland
6460,Milford
60089,Buffalo Grove
92630,Lake Forest
96003,Redding
95928,Chico
13501,Utica
72032,Conway
82001,Cheyenne
42301,Owensboro
83605,Caldwell
70065,Kenner
3060,Nashua
38134,Bartlett
94061,Redwood City
37087,Lebanon
93454,Santa Maria
60016,Des Plaines
98632,Longview
37075,Hendersonville
50701,Waterloo
2138,Cambridge
60067,Palatine
1915,Beverly
97405,Eugene
93030,Oxnard
98059,Renton
60025,Glenview
33445,Delray Beach
80022,Commerce City
77590,Texas City
27893,Wilson
87124,Rio Rancho
27534,Goldsboro
98208,Everett
90640,Montebello
92020,El Cajon
77705,Beaumont
33407,West Palm Beach
79605,Abilene
61761,Normal
63301,Saint Charles
60174,Saint Charles
93010,Camarillo
97123,Hillsboro
91505,Burbank
95351,Modesto
67846,Garden City
8401,Atlantic City
80501,Longmont
95616,Davis
26003,Wheeling
95037,Morgan Hill
7011,Clifton
53081,Sheboygan
30344,East Point
57701,Rapid City
1810,Andover
34741,Kissimmee
6484,Shelton
6810,Danbury
52302,Marion
32771,Sanford
78666,San Marcos
80634,Greeley
76063,Mansfield
44035,Elyria
83301,Twin Falls
33134,Coral Gables
60441,Romeoville
1752,Marlborough
20707,Laurel
77803,Bryan
71603,Pine Bluff
57401,Aberdeen
21740,Hagerstown
7017,East Orange
60004,Arlington Heights
60543,Oswego
55433,Coon Rapids
92672,San Clemente
94568,Dublin
93405,San Luis Obispo
72762,Springdale
95240,Lodi
77571,La Porte
45040,Mason
30188,Woodstock